kjonn;studieretning_utdanningsprogram;fullforingsgrad;foreldrenes_utdanningsniva;intervall_ar;elever;andel_elever_prosent
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2008-2013;17286;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2009-2014;16890;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2010-2015;17173;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2011-2016;16655;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2012-2017;16535;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Videregående utdanning;2013-2018;15631;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;1994-1999;4401;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;1997-2002;4596;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;1998-2003;4554;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;1999-2004;4457;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2000-2005;4327;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2001-2006;4697;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2002-2007;4872;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2003-2008;5097;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2004-2009;5129;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2005-2010;5155;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2006-2011;4820;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2007-2012;4731;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2008-2013;4432;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2009-2014;4312;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2010-2015;4242;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2011-2016;4258;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2012-2017;4103;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Grunnskoleutdanning;2013-2018;3868;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;1994-1999;313;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;1997-2002;323;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;1998-2003;302;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;1999-2004;275;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2000-2005;349;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2001-2006;413;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2002-2007;517;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2003-2008;600;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2004-2009;676;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2005-2010;768;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2006-2011;723;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2007-2012;588;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2008-2013;666;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2009-2014;743;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2010-2015;901;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2011-2016;1133;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2012-2017;1431;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;I alt;Uoppgitt utdanning;2013-2018;1728;100
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1994-1999;9082;38.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1997-2002;9428;38.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1998-2003;9813;39.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;1999-2004;9338;39.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2000-2005;8914;36.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2001-2006;10634;39.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2002-2007;11074;38.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2003-2008;11829;39.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2004-2009;12450;39.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2005-2010;12702;39.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2006-2011;11388;37.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2007-2012;11850;38.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2008-2013;12183;39.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2009-2014;12050;39.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2010-2015;13053;41.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2011-2016;12977;41.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2012-2017;13372;42.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Alle utdanningsnivå;2013-2018;13068;42.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1994-1999;353;51.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1997-2002;345;48.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1998-2003;396;53.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;1999-2004;400;49.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2000-2005;427;49.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2001-2006;541;53.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2002-2007;667;54.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2003-2008;679;54
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2004-2009;741;56
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2005-2010;708;56.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2006-2011;617;53.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2007-2012;588;50.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2008-2013;648;51.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2009-2014;664;54.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2010-2015;752;53.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2011-2016;785;55.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2012-2017;826;55.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Lang høyere utdanning;2013-2018;790;54.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1994-1999;1494;44.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1997-2002;1888;46.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1998-2003;1943;46.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;1999-2004;1980;48.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2000-2005;2026;44.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2001-2006;2626;49.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2002-2007;2774;46.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2003-2008;3093;48.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2004-2009;3313;48.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2005-2010;3450;48.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2006-2011;3021;44.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2007-2012;3270;45.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2008-2013;3506;47
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2009-2014;3481;46.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2010-2015;3813;49.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2011-2016;3904;48.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2012-2017;4072;49.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Kort høyere utdanning;2013-2018;3998;49.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1994-1999;5872;39
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1997-2002;5836;39.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1998-2003;6083;40.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;1999-2004;5665;40.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2000-2005;5316;36.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2001-2006;6091;39.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2002-2007;6239;38.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2003-2008;6588;39
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2004-2009;6880;38.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2005-2010;7099;40.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2006-2011;6452;37.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2007-2012;6660;38.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2008-2013;6717;38.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2009-2014;6700;39.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2010-2015;7154;41.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2011-2016;6890;41.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2012-2017;6995;42.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Videregående utdanning;2013-2018;6697;42.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1994-1999;1301;29.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1997-2002;1286;28
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1998-2003;1315;28.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;1999-2004;1225;27.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2000-2005;1060;24.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2001-2006;1268;27
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2002-2007;1266;26
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2003-2008;1309;25.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2004-2009;1317;25.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2005-2010;1231;23.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2006-2011;1149;23.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2007-2012;1200;25.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2008-2013;1130;25.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2009-2014;1039;24.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2010-2015;1110;26.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2011-2016;1126;26.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2012-2017;1137;27.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Grunnskoleutdanning;2013-2018;1138;29.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1994-1999;62;19.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1997-2002;73;22.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1998-2003;76;25.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;1999-2004;68;24.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2000-2005;85;24.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2001-2006;108;26.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2002-2007;128;24.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2003-2008;160;26.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2004-2009;199;29.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2005-2010;214;27.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2006-2011;149;20.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2007-2012;132;22.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2008-2013;182;27.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2009-2014;166;22.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2010-2015;224;24.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2011-2016;272;24
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2012-2017;342;23.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på normert tid;Uoppgitt utdanning;2013-2018;445;25.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1994-1999;3030;12.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1997-2002;4430;18.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1998-2003;4257;17.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;1999-2004;3965;16.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2000-2005;4677;19.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2001-2006;4346;16.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2002-2007;4812;16.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2003-2008;5054;16.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2004-2009;5470;17.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2005-2010;5309;16.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2006-2011;5591;18.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2007-2012;5349;17.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2008-2013;5687;18.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2009-2014;5925;19.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2010-2015;5808;18.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2011-2016;6124;19.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2012-2017;6211;19.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Alle utdanningsnivå;2013-2018;5902;19.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1994-1999;101;14.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1997-2002;149;20.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1998-2003;141;19.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;1999-2004;156;19.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2000-2005;175;20.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2001-2006;193;19.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2002-2007;214;17.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2003-2008;216;17.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2004-2009;232;17.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2005-2010;218;17.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2006-2011;229;19.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2007-2012;208;18
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2008-2013;241;19.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2009-2014;211;17.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2010-2015;270;19.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2011-2016;265;18.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2012-2017;279;18.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Lang høyere utdanning;2013-2018;273;19
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;1994-1999;489;14.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;1997-2002;823;20.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;1998-2003;830;19.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;1999-2004;752;18.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2000-2005;962;21.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2001-2006;926;17.4
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2002-2007;1110;18.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2003-2008;1205;18.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2004-2009;1256;18.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2005-2010;1307;18.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2006-2011;1323;19.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2007-2012;1420;19.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2008-2013;1455;19.5
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2009-2014;1568;20.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2010-2015;1472;19.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2011-2016;1689;21
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2012-2017;1708;20.8
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Kort høyere utdanning;2013-2018;1725;21.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;1994-1999;1970;13.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;1997-2002;2765;18.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;1998-2003;2626;17.7
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;1999-2004;2411;17.1
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;2000-2005;2832;19.6
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;2001-2006;2600;16.9
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;2002-2007;2794;17.3
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;2003-2008;2898;17.2
Begge kjønn;Yrkesfaglig  studieretning/utdanningsprogram;Fullført på mer enn normert tid;Videregående utdanning;2004-2009;3209;18.1
